domain_entity,canonical_field,display_label_zh,source_table,source_column,java_source,api_or_ui_source,example_value,semantic_status,notes
Study,studyKey,项目/Study 名,meta2db_sample_metadata,project_name,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:11-12;mico_database_new/src/main/resources/mapper/PatientMapper.xml:19;39-43;234-235,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:47-67;mico_database_new/src/main/resources/templates/patient_results.html:88;123,2015_Castro-NallarE,confirmed_by_source_and_code,项目名与样本名分开；独立 Study 表/物理主键待核验
Study,studyName,项目/Study 展示名,meta2db_sample_metadata,project_name,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:11-12,mico_database_new/src/main/resources/templates/patient_results.html:88,2015_Castro-NallarE,confirmed_by_source_and_code,原样展示，不回退到 sample_id
Study,studySource,项目来源,meta2db_sample_metadata,source_batch,待核验,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:47-67,Meta2DB,待核验,远程列与实际批次需 SHOW COLUMNS 核验
Study,studySampleCount,项目样本记录数,meta2db_sample_metadata,COUNT(DISTINCT sample_id),待核验,mico_database_new/src/main/java/com/database/mico_database/service/PatientService.java:77-89,32,contract_only,聚合值必须标为样本记录数而非患者数
Subject,subjectKey,来源受试者标识,meta2db_sample_metadata,raw_metadata.host_subject_id,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:7-16,待核验,11811_valid_rows;9603_distinct;max42_rows,remote_live_verified,"远程实时核验：raw_metadata 非空 11811 行；按 NULL/空字符串及 null、unknown、n/a、na、not available、not applicable、missing、none 缺失规则，有效候选 11811 行、9603 个不同值、805 个值对应多行、最大 42 行；候选不等于已审核 Subject"
Subject,subjectLinkStatus,受试者关联状态,derived,derived,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:7-16,待核验,unverified,contract_only,当前没有 Java 字段；未核验不得用 patient_id 代替
Subject,age,年龄,patients,age,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:15;mico_database_new/src/main/resources/mapper/PatientMapper.xml:22,mico_database_new/src/main/resources/templates/patient_results.html:151-155,29,confirmed_by_code,源字段 host_age 与 patients.age 的同步关系待核验
Subject,gender,性别,patients,gender,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:16;mico_database_new/src/main/resources/mapper/PatientMapper.xml:23,mico_database_new/src/main/resources/templates/patient_results.html:157-159,male,confirmed_by_code,页面只做 Male/Female/M/F 展示映射
Subject,country,国家/地区来源,patients,country,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:17;mico_database_new/src/main/resources/mapper/PatientMapper.xml:24,mico_database_new/src/main/resources/templates/patient_results.html:96,United States of America,confirmed_by_code,不作为 subject 身份证明
Sample,sampleAccession,样本 accession/样本名,meta2db_sample_metadata,raw_metadata.run_acc,mico_database_new/src/main/resources/mapper/PatientMapper.xml:8-13;39;55;73;92;111,mico_database_new/src/main/resources/templates/patient_results.html:119,SRR1518476,remote_live_verified,远程样例 JSON run_acc=SRR1518476；Java 优先展示该字段
Sample,sampleName,样本名,derived,run_acc->filename_match->profile_sample->patient_name,mico_database_new/src/main/java/com/database/mico_database/model/Patient.java:9-12;mico_database_new/src/main/java/com/database/mico_database/model/MicrobeAbundance.java:8-15,mico_database_new/src/main/resources/templates/patient_results.html:87;119,SRR1518476,remote_live_verified,远程样例中短 accession 来自 raw_metadata.run_acc；展示名不是 patient_name 的语义承诺
Sample,sourceSampleId,来源样本记录键,meta2db_sample_metadata,sample_id,mico_database_new/src/main/java/com/database/mico_database/service/PatientService.java:77-108,mico_database_new/src/main/java/com/database/mico_database/controller/AgentApiController.java:95-146,2015_Castro-NallarE|SRR1518476_Study_of_microbial_diversity_from_samples_derived_from_throat_swabs_of_schizophrenia_patients_hum_removed_nt_mhl15,remote_live_verified,远程样例值；复合键；不应被显示为姓名
